ID,victim,gang,date,Victim Country,Victim sectors,NumberN/AofN/Aemployees,Sales,Ransom Currency,Ransom Paid
22453.0,Netronix Inc,crazyhunter,2025-03-30,Taiwan,Technology,144,$17M,,
22452.0,Formosa Chang,ralord,2025-03-30,Taiwan,Services,93,$52.3M,,
22451.0,AKTO,nitrogen,2025-03-31,France,Unknown,,,,
22450.0,TEPAS,qilin,2025-03-30,Norway,Finance,<25,<$5M,,
22449.0,creativeunited.org.uk,safepay,2025-03-30,UK,Finance,<25,$5M,,
22448.0,brightonaustralia.com.au,safepay,2025-03-30,Australia,Construction,28,$20.1M,,
22447.0,tieraerzte-warburg.de,safepay,2025-03-30,Germany,Services,,,,
22446.0,system-toolsgmbh.de,safepay,2025-03-30,Germany,Unknown,,,,
22445.0,vinylvisions.com,safepay,2025-03-30,USA,Industrial,57,$11.3M,,
22444.0,estilointeriors.co.uk,safepay,2025-03-30,UK,Construction,<25,<$5M,,
22443.0,swr.school,safepay,2025-03-30,UK,Education,247,$21.3M,,
22442.0,albrecht-partner-steuerberatung.de,safepay,2025-03-30,Germany,Services,<25,<$5M,,
22441.0,alpsteel.com,safepay,2025-03-30,USA,Industrial,58,$13.6M ,,
22440.0,blunk-gmbh.de,safepay,2025-03-30,Germany,Services,<25,<$5M,,
22439.0,cjs-buerodienstleistungen.de,safepay,2025-03-30,Germany,Consumer,<25,<$5M,,
22438.0,beaudry.ca,safepay,2025-03-30,Canada,Construction,<25,<$5M,,
22437.0,bohrerhof.de,safepay,2025-03-30,Germany,Unknown,,,,
22436.0,metalogicinspection.com,safepay,2025-03-30,USA,Construction,269,$61.6M,,
22435.0,comfort.de,safepay,2025-03-30,Germany,Media,<25,$6.5M,,
22434.0,vcvitanzasons.com,safepay,2025-03-30,USA,Construction,<25,<$5M,,
22433.0,tramann.de,safepay,2025-03-30,Germany,Industrial,<25,<$5M,,
22432.0,schuhbode.de,safepay,2025-03-30,Germany,Construction,<25,<$5M,,
22431.0,norson.com,safepay,2025-03-30,Canada,Construction,118,$80.8M,,
22430.0,fd-friedrich.com,safepay,2025-03-30,Germany,Industrial,<25,<$5M,,
22429.0,westwarwickwelding.com,safepay,2025-03-30,USA,Industrial,<25,<$5M,,
22428.0,prestigeer.com,safepay,2025-03-30,USA,Healthcare,<25,<$5M,,
22427.0,ecconstructors.com,safepay,2025-03-30,USA,Construction,27,$16.9M,,
22426.0,wrm.org,safepay,2025-03-30,USA,Services,26,$25.7M,,
22425.0,retycol.com,safepay,2025-03-30,Colombia,Industrial,205,$11.3M,,
22424.0,marcom-inc.ca,safepay,2025-03-30,Canada,Technology,45,$16.4M,,
22423.0,adolphelawgroup.com,safepay,2025-03-30,USA,Legal,<25,<$5M,,
22422.0,wagner-transporte.com,safepay,2025-03-30,Germany,Industrial,<25,<$5M,,
22421.0,children-ne.org.uk,safepay,2025-03-30,UK,Public,862,$25.5M,,
22420.0,mayaassurance.com,safepay,2025-03-30,USA,Finance,31,$5.2M,,
22419.0,National Defense Corp,interlock,2025-03-29,USA,Industrial,150,$38.5M,,
22418.0,www.assisi.nl,ransomhub,2025-03-29,Netherlands,Services,<25,$5.3M,,
22417.0,dapope.com,blacksuit,2025-03-29,USA,Construction,<25,$12.7M,,
22416.0,Town of Orangeville,blacksuit,2025-03-29,Canada,Public,360,$92.3M,,
22415.0,importantsteps.com,incransom,2025-03-29,USA,Education,81,$17M,,
22414.0,bahnlog.com,incransom,2025-03-29,Germany,Energy,<25,<$5M,,
22412.0,O'Shea Builders,medusa,2025-03-29,USA,Construction,137,$107M,,
22411.0,Thaon-les-Vosges,dragonforce,2025-03-29,France,Unknown,,,,
22410.0,mmmbs.net,qilin,2025-03-29,USA,Services,27,$6M,,
22409.0,frazerllp.com,qilin,2025-03-29,USA,Services,101,$9.8M,,
22408.0,bedfordma.gov,qilin,2025-03-29,USA,Public,44,$12M,,
22407.0,derianhouse.co.uk,qilin,2025-03-29,UK,Public,71,$18.2M,,
22406.0,blue-hive.com,qilin,2025-03-29,USA,Retail,95,$18.8M,,
22405.0,charlesjones.ca,qilin,2025-03-29,Canada,Industrial,96,$23.5M,,
22404.0,hardmanjohnston.com,qilin,2025-03-29,USA,Finance,28,$6M,,
22403.0,Geass,sarcoma,2025-03-29,Italy,Services,<25,<$5M,,
22390.0,Transsion Holdings,hellcat,2025-03-29,China,Industrial,18381,$10.2B,,
22388.0,solaroptimum.com,lynx,2025-03-29,USA,Services,90,$23.8M,,
22387.0,pereclaver.org,ralord,2025-03-28,Spain,Education,<25,<$5M,,
22386.0,Forrest City School District,rhysida,2025-03-28,USA,Education,112,$11.2M,,
22380.0,S.S. White,akira,2025-03-28,USA,Retail,248,$62.7M,,
22379.0,Superior Forge & Steel,akira,2025-03-28,USA,Construction,135,$32.5M,,
22378.0,augustssons.se,incransom,2025-03-28,Sweden,Retail,<25,<$5M,,
22377.0,Commercial Concrete Systems,lynx,2025-03-28,USA,Construction,309,$72M,,
22376.0,AJF Inspections & Engineering (),lynx,2025-03-28,USA,Finance,<25,$5.5M,,
22375.0,Martin Mechanical ,lynx,2025-03-28,USA,Construction,39,$11M,,
22374.0,unired.uz,babuk2,2025-03-28,Uzbekistan,Services,<25,<$5M,,
22373.0,Kaspar Companies,akira,2025-03-28,USA,Finance,338,$90.8M,,
22372.0,www.bassi.it,ransomhub,2025-03-28,Italy,Industrial,<25,<$5M,,
22371.0,UNITED OPTICS GmbH,akira,2025-03-28,Austria,Industrial,38,$6M,,
22370.0,Lupin Limited,killsec,2025-03-28,India,Industrial,19210,$2.5B,,
22369.0,entandallergy.com,abyss,2025-03-28,USA,Healthcare,1500,$220.2M,,
22368.0,agakam,qilin,2025-03-28,France,Education,427,$165.2M,,
22367.0,acm,qilin,2025-03-28,Singapore,Services,<25,<$5M,,
22366.0,wieso-cert,qilin,2025-03-28,Germany,Retail,<25,<$5M,,
22364.0,ihara.com.br,ralord,2025-03-27,Brazil,Agriculture,614,$305.4M,,
22363.0,www.allmilmoe.com,ransomhub,2025-03-27,Germany,Services,<25,<$5M,,
22362.0,Wildeck Inc,qilin,2025-03-28,USA,Industrial,486,$35.2M,,
22361.0,Manning Materials Corp.,akira,2025-03-27,USA,Construction,<25,$17.4M,,
22360.0,NAI Earle Furman,akira,2025-03-27,USA,Finance,107,$91.2M,,
22359.0,brattenelectrictn.com,ransomhub,2025-03-27,USA,Unknown,,,,
22358.0,REIMERS FURNITURE MFG INC,akira,2025-03-27,USA,Retail,<25,$10.2M,,
22357.0,City of Fort St. John ,incransom,2025-03-27,Canada,Public,<25,<$5M,,
22356.0,amatechinc.com,lynx,2025-03-27,USA,Industrial,83,$7M,,
22355.0,Senior Support Services ,rhysida,2025-03-27,UK,Public,38,<$5M,,
22354.0,NEW JERSEY CPA,ransomhouse,2025-03-27,USA,Unknown,,,,
22351.0,aman-iraq.com,babuk2,2025-03-26,Iraq,Unknown,,,,
22350.0,crimsgroup.com,babuk2,2025-03-26,Canada,Unknown,,,,
22349.0,heras.co.uk,babuk2,2025-03-26,UK,Services,1100,$287.7M,,
22348.0,alliedwoundcare.com,babuk2,2025-03-26,USA,Healthcare,<25,<$5M,,
22347.0,compumedics.com.au ,VanHelsing,2025-03-26,Australia,Industrial,135,$33M,,
22346.0,Monette Barakett,akira,2025-03-26,Canada,Legal,37,<$5M,,
22345.0,Helbor,akira,2025-03-26,Brazil,Technology,193,$229.5M,,
22344.0,TOGA,akira,2025-03-26,Australia,Services,60,$12M,,
22343.0,Hansa Solutions,akira,2025-03-26,India,Finance,79,$15.3M,,
22342.0,www.hongthongrice.com,ransomhub,2025-03-26,Thailand,Industrial,77,<$5M,,
22341.0,www.fkm-elemente.de,ransomhub,2025-03-26,Germany,Services,,,,
22340.0,Ebassi.com (E.B. Archbald and Associates),qilin,2025-03-26,USA,Technology,<25,<$5M,,
22339.0,conterra.com,ransomhub,2025-03-26,USA,Technology,279,$103M,,
22336.0,Oregon Surveillance Network - OSN!,arkana,2025-03-26,USA,Services,<25,<$5M,,
22335.0,TriCity Family Services,incransom,2025-03-26,USA,Public,39,<$5M,,
22334.0,www.DSelectrical.com,ransomhub,2025-03-26,USA,Construction,131,$32M,,
22333.0,ec-nantes.fr,ralord,2025-03-26,France,Education,<25,<$5M,,
22332.0,tomioingenieria.com.ar,ralord,2025-03-26,Argentina,Construction,322,$8M,,
22331.0,The PNST,sarcoma,2025-03-26,Brazil,Industrial,<25,<$5M,,
22330.0,Elmos,sarcoma,2025-03-26,Germany,Industrial,1200,$445.3M,,
22329.0,Benkin Sheet Metal 2008 Ltd,sarcoma,2025-03-26,Canada,Construction,<25,<$5M,,
22328.0,Initiative Var,sarcoma,2025-03-26,France,Unknown,,,,
22327.0,Roshan Packages,sarcoma,2025-03-26,Pakistan,Industrial,614,$61M,,
22326.0,R&K Drysdales,sarcoma,2025-03-26,UK,Agriculture,378,$20.8M,,
22325.0,Austring Fairman & Fekete,sarcoma,2025-03-26,Canada,Legal,28,$5M,,
22323.0,saiedu.fi,safepay,2025-03-25,Finland,Unknown,,,,
22322.0,kalesavunma.com ,babuk2,2025-03-25,Turkey,Industrial,25,,,
22320.0,Direct Traffic Control,lynx,2025-03-26,USA,Services,82,$15.5M,,
22319.0,usCalibration,play,2025-03-25,USA,Services,36,$8.8M,,
22318.0,Kimco Steel,play,2025-03-25,Canada,Industrial,338,$27.2<m,,
22317.0,Curtain Bluff,medusalocker,2025-03-25,Antigua and Barbuda,Services,280,$17.4M,,
22316.0,B&C Industries,play,2025-03-25,Hong Kong,Industrial,65,$12.9M,,
22315.0,www.lions-online.org,ransomhub,2025-03-25,USA,Public,,,,
22314.0,www.cormidom.com.do,ransomhub,2025-03-25,Dominican Republic,Industrial,<25,<$5M,,
22313.0,www.afnigc.ca,ransomhub,2025-03-25,Canada,Public,,,,
22312.0,www.creativelogisticservices.com,ransomhub,2025-03-25,USA,Transportation,35,$8.5M,,
22311.0,www.ripplejunction.com,ransomhub,2025-03-25,USA,Retail,112,$18.6M,,
22310.0,www.argentosc.com,ransomhub,2025-03-25,USA,Retail,<25,<$5M,,
22309.0,www.mododoc.com,ransomhub,2025-03-25,USA,Unknown,,,,
22308.0,www.garbinc.com,ransomhub,2025-03-25,USA,Industrial,<25,<$5M,,
22307.0,www.carolinaac.com,ransomhub,2025-03-25,USA,Construction,<25,$9.6M,,
22306.0,AAYLEX ONE S.A.,akira,2025-03-25,Romania,Unknown,,,,
22305.0,Plaza BrasÃ­lia HotÃ©is,akira,2025-03-25,Brazil,Services,,,,
22304.0,Wide Open West - WOW!,arkana,2025-03-25,USA,Technology,1360,$647M,,
22303.0,Primary Flow Signal: Flow Meters ,qilin,2025-03-25,USA,Industrial,81,$20.4M,,
22302.0,gettys.com,qilin,2025-03-25,USA,Construction,127,$80.8M,,
22301.0,bioclimaservice.it,lockbit3,2025-03-25,Italy,Services,<25,<$5M,,
22300.0,fepasa.com.ar,lockbit3,2025-03-25,Argentina,Unknown,,,,
22299.0,I.A.T.S.E.,cicada3301,2025-03-25,Canada,Public,289,$22.4M,,
22298.0,Primex Farms LLC,akira,2025-03-25,USA,Services,81,$8.3M,,
22296.0,MISR AL MAHABA HOSPITAL,nightspire,2025-03-25,Egypt,Healthcare,77,$78.3M,,
22295.0,KHAZMODAN STUDIOS,nightspire,2025-03-25,South Korea,Retail,<25,<$5M,,
22294.0,"Montgomery Little & Soran, PC",weyhro,2025-03-25,USA,Legal,42,$6.3M,,
22293.0,McMillan James Equipment Company (MJEC),weyhro,2025-03-25,USA,Construction,63,$7.3M,,
22292.0,6ixty8ight,nightspire,2025-03-25,Hong Kong,Industrial,2333,$435.8M,,
22291.0,Sanyo Special Steel India Pvt. Ltd.,nightspire,2025-03-25,India,Industrial,6402,$2.4B,,
22290.0,Okeene Elementary School,rhysida,2025-03-25,USA,Education,<25,<$5M,,
22288.0,mnm.hu,ransomhub,2025-03-24,Hungary,Services,568,$31.2M,,
22287.0,cisd.org,ransomhub,2025-03-24,USA,Services,<25,<$5M,,
22286.0,technicare.com,ransomhub,2025-03-24,Canada,Consumer,<25,<$5M,,
22285.0,OMLTD.CO.JP,ransomhub,2025-03-24,Japan,Industrial,375,$62M,,
22284.0,www.rivaldt.com,ransomhub,2025-03-24,USA,Industrial,92,$23.4M,,
22283.0,www.solidworld.it,ransomhub,2025-03-24,Italy,Retail,150,$31.7M,,
22282.0,iberdrola.com ,babuk2,2025-03-24,Spain,Energy,41384,$51B,,
22281.0,studiocdlvallone.it,VanHelsing,2025-03-24,Italy,Services,<25,<$5M,,
22280.0,SEAQUEST SEAFOOD,frag,2025-03-24,USA,Industrial,<25,<$5M,,
22279.0,Woodbine Hospitality,frag,2025-03-24,USA,Services,167,$32M,,
22278.0,"Superior Technology, Inc.",frag,2025-03-24,USA,Industrial,105,$10.4M,,
22277.0,Stuwarooij,frag,2025-03-24,Netherlands,Services,451,$116M,,
22276.0,STATEWIDE ENTERPRISES,frag,2025-03-24,USA,Services,65,$16.4M,,
22275.0,Southwest Inspection and Testing,frag,2025-03-24,USA,Construction,65,$13.2M,,
22274.0,"Salvi, Schostok & Pritchard P.C.",frag,2025-03-24,USA,Legal,39,$12M,,
22273.0,QUILTCRAFT,frag,2025-03-24,USA,Retail,<25,<$5M,,
22272.0,Rahnama Law,frag,2025-03-24,USA,Legal,,,,
22271.0,Opulent,frag,2025-03-24,Singapore,Technology,652,$107.7M,,
22270.0,Nelson Law Firm,frag,2025-03-24,UK,Legal,<25,<$5M,,
22269.0,Komoto Healthcare,frag,2025-03-24,USA,Healthcare,<25,<$5M,,
22268.0,"iTEK Services, Inc.",frag,2025-03-24,USA,Services,93,$9.4M,,
22267.0,Moody Homes,frag,2025-03-24,UK,Construction,<25,<$5M,,
22266.0,"Red Credit solution, LLC",frag,2025-03-24,USA,Services,<25,<$5M,,
22265.0,Maine Highlands Federal Credit Union,frag,2025-03-24,USA,Finance,32,$19.5M,,
22264.0,Lake Beverage Corp.,frag,2025-03-24,USA,Retail,105,$27.5M,,
22263.0,"Kontane Logistics, Inc.",frag,2025-03-24,USA,Transportation,284,$59.4M,,
22262.0,FRANKLIN PRODUCTS,frag,2025-03-24,USA,Transportation,432,$30M,,
22261.0,Texas Fifth Wall Roofing Systems,frag,2025-03-24,USA,Construction,129,$25.2M,,
22260.0,Ellis Glass and Mirror Ltd,frag,2025-03-24,Canada,Construction,<25,<$5M,,
22259.0,"Community Management, Inc.",frag,2025-03-24,USA,Finance,82,$15.3M,,
22258.0,California Gasket and Rubber Corporation,frag,2025-03-24,USA,Transportation,25,$7.4M,,
22257.0,texascompressionservices.com,ransomhub,2025-03-25,USA,Energy,95,$18.6M,,
22256.0,Bunting Capital Management Inc,frag,2025-03-24,USA,Finance,<25,$5M,,
22255.0,AeroWorx,frag,2025-03-24,USA,Transportation,<25,$6M,,
22254.0,"Andrew Davidson & Co., Inc.",frag,2025-03-24,USA,Services,30,$7.7M,,
22253.0,"AmeriKen Die Supply, Inc",frag,2025-03-24,USA,Retail,77,$19.8M,,
22251.0,allbiz.com,incransom,2025-03-24,Cyprus,Public,<25,<$5M,,
22250.0,Grupo Santillana,hellcat,2025-03-24,Spain,Media,460,$36.3M,,
22249.0,Omnitracs,hellcat,2025-03-25,Brazil,Technology,1000,$210M,,
22248.0,www.solventacentroamerica.com,ransomhub,2025-03-24,USA,Technology,<25,<$5M,,
22247.0,TMT Clam Dredger,incransom,2025-03-24,USA,Industrial,34,$8.2M,,
22246.0,Business Software Solutions ,medusa,2025-03-24,Ireland,Technology,<25,$15.5M,,
22245.0,"Family Health Services, Inc",medusa,2025-03-24,USA,Healthcare,109,$20.7M,,
22244.0,www.exemplar.com,ransomhub,2025-03-24,Italy,Technology,<25,<$5M,,
22243.0,Wheels and Deals,qilin,2025-03-24,USA,Industrial,<25,<$5M,,
22242.0,Johnson Fitness,crazyhunter,2025-03-24,USA,Retail,1125,$833M,,
22241.0,Groupe des Industries Métallurgique ,qilin,2025-03-24,France,Industrial,,,,
22240.0,General Formulations,interlock,2025-03-23,USA,Services,319,$63.9M,,
22239.0,PMA,interlock,2025-03-23,Canada,Finance,2236,$2.1B,,
22238.0,Precision Accounting Intl,killsec,2025-03-23,USA,Services,<25,<$5M,,
22237.0,Ambleside,anubis,2025-03-23,USA,Healthcare,146,$25M,,
22236.0,AutoCanada,medusa,2025-03-23,Canada,Industrial,4041,$4.6B,,
22235.0,architekturbuero-heller.de,dragonforce,2025-03-23,Germany,Construction,<25,<$5M,,
22234.0,abeyor.fr,incransom,2025-03-23,France,Unknown,,,,
22233.0,Goshen Medical Center,bianlian,2025-03-22,USA,Healthcare,195,$20.5M,,
22232.0,Zaveta Custom Homes,play,2025-03-22,USA,Construction,87,$16M,,
22231.0,Doumen,lynx,2025-03-23,France,Transportation,832,$187M,,
22230.0,SPARSH Hospital,killsec,2025-03-22,India,Healthcare,716,$15.6M,,
22229.0,Advance Tapes International,medusa,2025-03-22,UK,Industrial,96,$29.8M,,
22228.0,Colemanmaterials,dragonforce,2025-03-22,USA,Construction,<25,<$5M,,
22227.0,Yadea Group Holdings Ltd,dragonforce,2025-03-22,China,Finance,12338,$4.7B,,
22226.0,Innovative Surfaces,killsec,2025-03-22,USA,Construction,97,$18M,,
22224.0,REOC San Antonio,play,2025-03-22,USA,Finance,28,$50M,,
22223.0,MinebeaMitsumi Inc,cicada3301,2025-03-22,Japan,Industrial,83886,$9.7B,,
22222.0,inmarsat.com,babuk2,2025-03-22,UK,Technology,1800,$665M,,
22221.0,jp-property.com,babuk2,2025-03-22,Japan,Finance,<25,<$5M,,
22220.0,Aztec Municipal School District,interlock,2025-03-22,USA,Education,48,<$5M,,
22219.0,compassionhealthcare.org,safepay,2025-03-22,USA,Healthcare,<25,$6.8M,,
22218.0,armetal.com,babuk2,2025-03-21,UAE,Industrial,331,$51.6M,,
22216.0,www.broadmoormethodist.org,ransomhub,2025-03-21,USA,Public,<25,<$5M,,
22215.0,www.sinkdirect.com,ransomhub,2025-03-21,USA,Retail,<25,<$5M,,
22214.0,www.elizajennings.org,ransomhub,2025-03-21,USA,Services,579,$23M,,
22213.0,www.ahmadiyya.ca,ransomhub,2025-03-21,Canada,Public,18639,$1B,,
22212.0,www.accessfinanceonline.com,ransomhub,2025-03-21,USA,Finance,<25,$7.8M,,
22211.0,www.abmenviro.ca,ransomhub,2025-03-21,Canada,Industrial,<25,$5.8M,,
22210.0,www.engines.man.eu,ransomhub,2025-03-21,Germany,Industrial,39509,$9.8B,,
22209.0,www.gestionquintessence.com,ransomhub,2025-03-21,Canada,Services,<25,<$5M,,
22208.0,www.scpautomation.com,ransomhub,2025-03-21,Canada,Industrial,<25,<$5M,,
22207.0,gbsn.com.br,ransomhub,2025-03-21,Brazil,Public,26,<$5M,,
22206.0,www.esquirebrands.com,ransomhub,2025-03-21,USA,Retail,25,$6.1M,,
22205.0,www.core-1.com,ransomhub,2025-03-21,USA,Services,83,$17.9M,,
22204.0,www.gcsnet.com,ransomhub,2025-03-21,USA,Technology,<25,<$5M,,
22203.0,www.njcalwe.com,ransomhub,2025-03-21,USA,Transportation,<25,<$5M,,
22202.0,www.allstarhealthcaresolutions.com,ransomhub,2025-03-21,USA,Services,459,$70M,,
22201.0,www.solinst.com,ransomhub,2025-03-21,Canada,Industrial,78,$17.8M,,
22200.0,www.avalonapparel.com,ransomhub,2025-03-21,USA,Retail,557,$33.7M,,
22199.0,Cayman National Bank,killsec,2025-03-21,Cayman Islands,Finance,163,$35.4M,,
22198.0,bellendorf.de,incransom,2025-03-21,Germany,Construction,<25,$5.1M,,
22197.0,www.oneupinnovations.com,ransomhub,2025-03-21,USA,Finance,38,$6M,,
22193.0,Officio Medical,killsec,2025-03-21,Cyprus,Healthcare,29,$24.9M,,
22191.0,CS Plastics,akira,2025-03-21,Belgium,Industrial,<25,$6.3M,,
22189.0,The Ticktin Law Group,babuk2,2025-03-21,USA,Legal,33,$6.8M,,
22188.0,Mpaj.gov.my,babuk2,2025-03-21,Malaysia,Public,33,$45.3M,,
22187.0,Subsurfco LLC,qilin,2025-03-21,USA,Construction,<25,<$5M,,
22185.0,exostar.com ,babuk2,2025-03-21,USA,Services,224,$44.5M,,
22182.0,Standard Capital Securities (Pvt) Backoffice - Pakistan Stock Market Data Vault,babuk2,2025-03-21,Pakistan,Finance,381,$79.5M,,
22181.0,mohrss.gov.cn ,babuk2,2025-03-20,China,Public,991,$102M,,
22179.0,yano.tokyo,blackout,2025-03-21,Japan,Unknown,,,,
22178.0,www.mslglobalexp.com,ransomhub,2025-03-20,USA,Media,<25,<$5M,,
22177.0,L&S Mechanical,spacebears,2025-03-20,USA,Construction,396,$254.6M,,
22176.0,Whittaker & Company,spacebears,2025-03-20,UK,Services,<25,$23.3M,,
22175.0,Obra Play,killsec,2025-03-20,Brazil,Industrial,<25,<$5M,,
22174.0,interiseworld.com,killsec,2025-03-20,India,Unknown,,,,
22173.0,Instituto de Ojos,killsec,2025-03-20,Mexico,Healthcare,62,$6.2M,,
22172.0,www.georgehay.co.uk,ransomhub,2025-03-20,UK,Services,96,$7.8M,,
22171.0,fr.sodexo.com,babuk2,2025-03-20,France,Services,315147,$25.9B,,
22169.0,woqod.com,babuk2,2025-03-20,Qatar,Energy,2585,$695.3M,,
22168.0,mof.go.th - Ministry of Finance (Thailand),babuk2,2025-03-20,Thailand,Public,49,$30.9M,,
22167.0,Newtown Friends School,fog,2025-03-20,USA,Education,41,$7.3M,,
22166.0,www.janvier-labs.com,ransomhub,2025-03-20,France,Services,393,$21.6M,,
22165.0,J McCann & Co Ltd,medusa,2025-03-20,UK,Construction,26,$10.3M,,
22164.0,Champions Group,medusa,2025-03-20,India,Finance,2400,$651M,,
22163.0,"Augusta Industrial Services, Inc. ",medusa,2025-03-20,USA,Services,90,$23.9M,,
22162.0,National Safety Council,medusa,2025-03-20,USA,Public,501,$55M,,
22158.0,Baltimorecityschools,cloak,2025-03-20,USA,Education,8592,$1.5B,,
22157.0,Wr-recht.de,cloak,2025-03-20,Germany,Healthcare,95,$14.6M,,
22156.0,Oag.state.va.us,cloak,2025-03-20,USA,Public,565,$126.8M,,
22155.0,Auren,akira,2025-03-20,Spain,Services,2050,$433M,,
22154.0,Land Planners,akira,2025-03-20,USA,Construction,26,<$5M,,
22153.0,smic.mi.th,babuk2,2025-03-20,Thailand,Public,,,,
22152.0,Cargills Bank,hunters,2025-03-20,Sri Lanka,Finance,524,$37M,,
22151.0,ZB ZIMMERMANN UND BECKER GmbH,akira,2025-03-20,Germany,Services,58,<$5M,,
22150.0,Big Horn County School District,medusa,2025-03-20,USA,Education,115,,,
22149.0,Megacentro,hunters,2025-03-20,Chile,Finance,816,$44.9M,,
22148.0,Luff Industries,qilin,2025-03-20,Canada,Industrial,110,$37.5M,,
22147.0,www.kvhealth.net,kraken,2025-03-20,USA,Healthcare,225,$33M,,
22146.0,www.gob.ve,babuk2,2025-03-19,Venezuela,Public,173,$14.4M,,
22144.0,United States County Palm Beach Goverment,babuk2,2025-03-19,USA,Public,6900,$6.7B,,
22141.0,rac.gov.my,babuk2,2025-03-19,Malaysia,Public,,,,
22140.0,nimapinfotech.com,babuk2,2025-03-19,India,Services,271,$16.7M,,
22139.0,www.medsrx.com,VanHelsing,2025-03-19,USA,Healthcare,<25,<$5M,,
22138.0,controlledair.com,ransomhub,2025-03-19,USA,Construction,71,$11.3M,,
22137.0,Q railing,play,2025-03-19,Germany,Construction,296,$66.1M,,
22136.0,"The Ely Company, Inc.",akira,2025-03-19,USA,Industrial,<25,<$5M,,
22135.0,Los MadroÃ±os Hospital,qilin,2025-03-19,Spain,Healthcare,,,,
22134.0,VEST LLC,akira,2025-03-19,USA,Industrial,<25,<$5M,,
22133.0,LINC Systems,akira,2025-03-19,USA,Industrial,200,$54.3M,,
22132.0,Machu Picchu Foods,akira,2025-03-19,Peru,Retail,668,$132.7M,,
